Files already downloaded and verified
[EPOCH: 106] 	Test Loss: 0.8547, 	Test Accuracy: 0.6992

[EPOCH: 107] 	Train Loss: 1.0374, 	Train Accuracy: 0.6318
[EPOCH: 107] 	Test Loss: 0.8427, 	Test Accuracy: 0.7037

[EPOCH: 108] 	Train Loss: 1.0409, 	Train Accuracy: 0.6282
[EPOCH: 108] 	Test Loss: 0.8291, 	Test Accuracy: 0.7063

[EPOCH: 109] 	Train Loss: 1.0323, 	Train Accuracy: 0.6307
[EPOCH: 109] 	Test Loss: 0.8371, 	Test Accuracy: 0.7111

[EPOCH: 110] 	Train Loss: 1.0352, 	Train Accuracy: 0.6303
[EPOCH: 110] 	Test Loss: 0.8220, 	Test Accuracy: 0.7116

[EPOCH: 111] 	Train Loss: 1.0306, 	Train Accuracy: 0.6330
[EPOCH: 111] 	Test Loss: 0.8509, 	Test Accuracy: 0.6977

[EPOCH: 112] 	Train Loss: 1.0298, 	Train Accuracy: 0.6335
[EPOCH: 112] 	Test Loss: 0.8262, 	Test Accuracy: 0.7082

[EPOCH: 113] 	Train Loss: 1.0284, 	Train Accuracy: 0.6348
[EPOCH: 113] 	Test Loss: 0.8403, 	Test Accuracy: 0.7018

[EPOCH: 114] 	Train Loss: 1.0198, 	Train Accuracy: 0.6398
[EPOCH: 114] 	Test Loss: 0.8400, 	Test Accuracy: 0.7012

[EPOCH: 115] 	Train Loss: 1.0194, 	Train Accuracy: 0.6390
[EPOCH: 115] 	Test Loss: 0.8083, 	Test Accuracy: 0.7120

[EPOCH: 116] 	Train Loss: 1.0167, 	Train Accuracy: 0.6390
[EPOCH: 116] 	Test Loss: 0.8192, 	Test Accuracy: 0.7108

[EPOCH: 117] 	Train Loss: 1.0133, 	Train Accuracy: 0.6384
[EPOCH: 117] 	Test Loss: 0.8185, 	Test Accuracy: 0.7109

[EPOCH: 118] 	Train Loss: 1.0158, 	Train Accuracy: 0.6394
[EPOCH: 118] 	Test Loss: 0.8396, 	Test Accuracy: 0.7059

[EPOCH: 119] 	Train Loss: 1.0095, 	Train Accuracy: 0.6400
[EPOCH: 119] 	Test Loss: 0.8318, 	Test Accuracy: 0.7044

[EPOCH: 120] 	Train Loss: 1.0124, 	Train Accuracy: 0.6423
[EPOCH: 120] 	Test Loss: 0.8144, 	Test Accuracy: 0.7166

[EPOCH: 121] 	Train Loss: 1.0105, 	Train Accuracy: 0.6427
[EPOCH: 121] 	Test Loss: 0.8498, 	Test Accuracy: 0.7031

[EPOCH: 122] 	Train Loss: 1.0065, 	Train Accuracy: 0.6436
[EPOCH: 122] 	Test Loss: 0.8029, 	Test Accuracy: 0.7173

[EPOCH: 123] 	Train Loss: 1.0030, 	Train Accuracy: 0.6424
[EPOCH: 123] 	Test Loss: 0.8334, 	Test Accuracy: 0.7050

[EPOCH: 124] 	Train Loss: 0.9948, 	Train Accuracy: 0.6483
[EPOCH: 124] 	Test Loss: 0.8051, 	Test Accuracy: 0.7181

[EPOCH: 125] 	Train Loss: 0.9958, 	Train Accuracy: 0.6489
[EPOCH: 125] 	Test Loss: 0.8137, 	Test Accuracy: 0.7121

[EPOCH: 126] 	Train Loss: 0.9948, 	Train Accuracy: 0.6495
[EPOCH: 126] 	Test Loss: 0.7972, 	Test Accuracy: 0.7186

[EPOCH: 127] 	Train Loss: 0.9853, 	Train Accuracy: 0.6502
[EPOCH: 127] 	Test Loss: 0.8110, 	Test Accuracy: 0.7116

[EPOCH: 128] 	Train Loss: 0.9893, 	Train Accuracy: 0.6470
[EPOCH: 128] 	Test Loss: 0.7883, 	Test Accuracy: 0.7161

[EPOCH: 129] 	Train Loss: 0.9855, 	Train Accuracy: 0.6500
[EPOCH: 129] 	Test Loss: 0.7992, 	Test Accuracy: 0.7151

[EPOCH: 130] 	Train Loss: 0.9821, 	Train Accuracy: 0.6520
[EPOCH: 130] 	Test Loss: 0.7919, 	Test Accuracy: 0.7219

[EPOCH: 131] 	Train Loss: 0.9855, 	Train Accuracy: 0.6526
[EPOCH: 131] 	Test Loss: 0.7973, 	Test Accuracy: 0.7194

[EPOCH: 132] 	Train Loss: 0.9775, 	Train Accuracy: 0.6550
[EPOCH: 132] 	Test Loss: 0.7826, 	Test Accuracy: 0.7241

[EPOCH: 133] 	Train Loss: 0.9698, 	Train Accuracy: 0.6543
[EPOCH: 133] 	Test Loss: 0.7737, 	Test Accuracy: 0.7269

[EPOCH: 134] 	Train Loss: 0.9736, 	Train Accuracy: 0.6533
[EPOCH: 134] 	Test Loss: 0.8032, 	Test Accuracy: 0.7193

[EPOCH: 135] 	Train Loss: 0.9755, 	Train Accuracy: 0.6551
[EPOCH: 135] 	Test Loss: 0.7708, 	Test Accuracy: 0.7282

[EPOCH: 136] 	Train Loss: 0.9712, 	Train Accuracy: 0.6561
[EPOCH: 136] 	Test Loss: 0.7711, 	Test Accuracy: 0.7290

[EPOCH: 137] 	Train Loss: 0.9686, 	Train Accuracy: 0.6565
[EPOCH: 137] 	Test Loss: 0.7565, 	Test Accuracy: 0.7310

[EPOCH: 138] 	Train Loss: 0.9689, 	Train Accuracy: 0.6595
[EPOCH: 138] 	Test Loss: 0.7852, 	Test Accuracy: 0.7277

[EPOCH: 139] 	Train Loss: 0.9733, 	Train Accuracy: 0.6551
[EPOCH: 139] 	Test Loss: 0.7728, 	Test Accuracy: 0.7280

[EPOCH: 140] 	Train Loss: 0.9595, 	Train Accuracy: 0.6622
[EPOCH: 140] 	Test Loss: 0.7919, 	Test Accuracy: 0.7237

[EPOCH: 141] 	Train Loss: 0.9535, 	Train Accuracy: 0.6645
[EPOCH: 141] 	Test Loss: 0.7663, 	Test Accuracy: 0.7305

[EPOCH: 142] 	Train Loss: 0.9608, 	Train Accuracy: 0.6593
[EPOCH: 142] 	Test Loss: 0.7627, 	Test Accuracy: 0.7336

[EPOCH: 143] 	Train Loss: 0.9587, 	Train Accuracy: 0.6590
[EPOCH: 143] 	Test Loss: 0.7877, 	Test Accuracy: 0.7266

[EPOCH: 144] 	Train Loss: 0.9536, 	Train Accuracy: 0.6643
[EPOCH: 144] 	Test Loss: 0.7801, 	Test Accuracy: 0.7279

[EPOCH: 145] 	Train Loss: 0.9527, 	Train Accuracy: 0.6621
[EPOCH: 145] 	Test Loss: 0.7503, 	Test Accuracy: 0.7381

[EPOCH: 146] 	Train Loss: 0.9516, 	Train Accuracy: 0.6615
[EPOCH: 146] 	Test Loss: 0.7551, 	Test Accuracy: 0.7374

[EPOCH: 147] 	Train Loss: 0.9474, 	Train Accuracy: 0.6672
[EPOCH: 147] 	Test Loss: 0.7632, 	Test Accuracy: 0.7299

[EPOCH: 148] 	Train Loss: 0.9439, 	Train Accuracy: 0.6660
[EPOCH: 148] 	Test Loss: 0.7476, 	Test Accuracy: 0.7363

[EPOCH: 149] 	Train Loss: 0.9460, 	Train Accuracy: 0.6627
[EPOCH: 149] 	Test Loss: 0.7488, 	Test Accuracy: 0.7402

[EPOCH: 150] 	Train Loss: 0.9437, 	Train Accuracy: 0.6641
[EPOCH: 150] 	Test Loss: 0.7546, 	Test Accuracy: 0.7354

[EPOCH: 151] 	Train Loss: 0.9377, 	Train Accuracy: 0.6687
[EPOCH: 151] 	Test Loss: 0.7532, 	Test Accuracy: 0.7371

[EPOCH: 152] 	Train Loss: 0.9414, 	Train Accuracy: 0.6677
[EPOCH: 152] 	Test Loss: 0.7389, 	Test Accuracy: 0.7440

[EPOCH: 153] 	Train Loss: 0.9326, 	Train Accuracy: 0.6700
[EPOCH: 153] 	Test Loss: 0.7690, 	Test Accuracy: 0.7322

[EPOCH: 154] 	Train Loss: 0.9324, 	Train Accuracy: 0.6692
[EPOCH: 154] 	Test Loss: 0.7343, 	Test Accuracy: 0.7428

[EPOCH: 155] 	Train Loss: 0.9324, 	Train Accuracy: 0.6724
